goals,ownGoals,playerId,redCards,yellowCards,matchId,team,minute,playerIn
0,0,2,21384,0,0,2576335,home,75.0,37745.0
1,0,2,20550,0,0,2576335,home,77.0,208865.0
2,null,0,130,0,0,2576335,home,83.0,7926.0
3,null,0,346908,0,0,2576335,home,,
4,null,0,376362,0,25,2576335,home,,
5,null,0,166534,0,63,2576335,home,,
6,0,2,20561,79,33,2576335,home,,
7,1,0,40806,0,0,2576335,home,,
8,null,0,265865,0,0,2576335,home,,
9,null,0,228928,0,0,2576335,home,,
10,null,0,7965,0,36,2576335,home,,
0,null,0,20556,0,0,2576335,away,60.0,20626.0
1,null,0,3344,0,0,2576335,away,67.0,352993.0
2,1,0,21094,0,47,2576335,away,79.0,20519.0
3,null,0,20571,0,0,2576335,away,,
4,null,0,3431,0,23,2576335,away,,
5,null,0,138408,0,0,2576335,away,,
6,1,0,206314,0,0,2576335,away,,
7,null,0,69968,0,12,2576335,away,,
8,null,1,14812,0,0,2576335,away,,
9,1,2,116349,0,83,2576335,away,,
10,null,0,135903,0,0,2576335,away,,
0,null,0,20556,0,0,2576326,home,58.0,352993.0
1,null,0,116349,0,0,2576326,home,71.0,20626.0
2,null,0,20519,0,0,2576326,home,77.0,3543.0
3,null,0,21094,0,0,2576326,home,,
4,null,0,20571,0,0,2576326,home,,
5,null,0,138408,0,0,2576326,home,,
6,null,0,206314,0,0,2576326,home,,
7,1,0,3344,0,0,2576326,home,,
8,null,0,69968,0,23,2576326,home,,
9,null,0,14812,0,0,2576326,home,,
10,null,0,135903,0,0,2576326,home,,
0,1,0,208696,0,0,2576326,away,71.0,3710.0
1,1,2,209400,0,17,2576326,away,79.0,22699.0
2,0,2,292991,0,0,2576326,away,84.0,221047.0
3,null,0,267185,0,0,2576326,away,,
4,null,0,22163,0,0,2576326,away,,
5,null,0,403449,0,0,2576326,away,,
6,null,0,22162,0,0,2576326,away,,
7,null,0,20832,0,0,2576326,away,,
8,0,2,20635,0,84,2576326,away,,
9,null,0,417231,0,0,2576326,away,,
10,null,0,22383,0,0,2576326,away,,
0,null,0,213948,0,0,2576315,home,52.0,265172.0
1,null,0,20938,0,0,2576315,home,74.0,354547.0
2,null,0,333913,0,0,2576315,home,79.0,234533.0
3,null,0,50069,0,0,2576315,home,,
4,null,0,20583,0,34,2576315,home,,
5,null,0,20540,0,0,2576315,home,,
6,null,0,131184,0,0,2576315,home,,
7,null,0,134508,47,0,2576315,home,,
8,null,0,248950,0,0,2576315,home,,
9,null,0,56026,0,0,2576315,home,,
10,null,0,300669,0,0,2576315,home,,
0,null,0,298212,0,0,2576315,away,69.0,7982.0
1,null,0,20556,0,0,2576315,away,79.0,352993.0
2,1,0,3344,0,0,2576315,away,84.0,20626.0
3,1,0,3543,0,0,2576315,away,,
4,null,0,20571,0,0,2576315,away,,
5,null,0,138408,0,0,2576315,away,,
6,1,0,206314,0,0,2576315,away,,
7,null,0,69968,0,0,2576315,away,,
8,null,0,14812,0,0,2576315,away,,
9,1,0,20519,0,0,2576315,away,,
10,null,0,135903,0,0,2576315,away,,
0,0,2,3344,0,0,2576302,home,81.0,3543.0
1,1,2,206314,0,0,2576302,home,85.0,7982.0
2,null,0,20571,0,0,2576302,home,,
3,null,0,20556,0,0,2576302,home,,
4,null,0,3431,0,0,2576302,home,,
5,null,1,138408,0,0,2576302,home,,
6,0,2,69968,0,88,2576302,home,,
7,null,0,14812,0,0,2576302,home,,
8,0,2,116349,18,0,2576302,home,,
9,null,0,135903,0,0,2576302,home,,
10,0,2,21094,0,58,2576302,home,94.0,352993.0
0,0,2,3318,0,0,2576302,away,61.0,89186.0
1,0,2,14943,0,52,2576302,away,66.0,246061.0
2,0,2,20443,0,21,2576302,away,80.0,361807.0
3,1,0,105334,0,0,2576302,away,,
4,null,0,20455,0,0,2576302,away,,
5,0,2,20458,0,45,2576302,away,,
6,0,2,70084,0,77,2576302,away,,
7,null,0,134427,0,0,2576302,away,,
8,1,2,3323,0,0,2576302,away,,
9,null,0,25437,0,0,2576302,away,,
10,null,0,20751,0,5,2576302,away,,
0,null,0,269188,0,0,2576294,home,60.0,86301.0
1,null,0,20468,0,0,2576294,home,67.0,21291.0
2,null,0,24964,0,75,2576294,home,83.0,99511.0
3,null,0,215869,0,0,2576294,home,,
4,null,0,21148,0,0,2576294,home,,
5,null,0,20748,0,0,2576294,home,,
6,null,0,20653,0,0,2576294,home,,
7,null,0,20633,0,0,2576294,home,,
8,null,0,21607,0,0,2576294,home,,
9,null,0,21438,0,0,2576294,home,,
10,null,0,21564,0,0,2576294,home,,
0,null,0,352993,0,0,2576294,away,67.0,7982.0
1,null,0,3543,0,0,2576294,away,77.0,116349.0
2,1,0,14812,0,0,2576294,away,89.0,20556.0
3,null,0,21094,0,0,2576294,away,,
4,null,0,20571,0,0,2576294,away,,
5,null,0,3431,0,0,2576294,away,,
6,null,0,138408,0,0,2576294,away,,
7,1,0,206314,0,0,2576294,away,,
8,null,0,3344,0,0,2576294,away,,
9,null,0,69968,0,0,2576294,away,,
10,null,0,135903,0,46,2576294,away,,
0,null,0,241676,0,0,2576281,home,35.0,3543.0
1,null,0,352993,0,0,2576281,home,75.0,20556.0
2,null,0,3431,0,0,2576281,home,82.0,20519.0
3,null,0,21094,0,0,2576281,home,,
4,null,0,20571,0,0,2576281,home,,
5,null,0,138408,0,0,2576281,home,,
6,1,0,206314,0,0,2576281,home,,
7,null,0,3344,0,0,2576281,home,,
8,1,0,69968,0,62,2576281,home,,
9,1,0,14812,0,0,2576281,home,,
10,1,0,135903,0,0,2576281,home,,
0,null,0,21865,0,0,2576281,away,49.0,220359.0
1,null,0,20472,0,0,2576281,away,52.0,92900.0
2,null,0,20874,0,0,2576281,away,72.0,434142.0
3,null,0,402898,0,0,2576281,away,,
4,null,0,20636,0,0,2576281,away,,
5,null,0,134413,0,0,2576281,away,,
6,null,0,40538,0,0,2576281,away,,
7,null,0,335634,0,0,2576281,away,,
8,null,0,283832,0,0,2576281,away,,
9,null,0,50073,0,0,2576281,away,,
10,null,0,21959,0,57,2576281,away,,
0,null,0,491409,0,0,2576272,home,46.0,135150.0
1,null,0,295176,0,0,2576272,home,80.0,263803.0
2,null,0,20404,0,0,2576272,home,85.0,346913.0
3,null,0,625,0,0,2576272,home,,
4,null,0,288663,0,62,2576272,home,,
5,null,0,49991,0,0,2576272,home,,
6,null,0,280419,0,0,2576272,home,,
7,null,0,20841,0,82,2576272,home,,
8,0,2,41034,0,37,2576272,home,,
9,null,0,50849,0,0,2576272,home,,
10,null,0,21077,0,0,2576272,home,,
0,0,2,3344,0,0,2576272,away,72.0,20626.0
1,null,0,3543,0,55,2576272,away,,
2,null,0,21094,0,0,2576272,away,,
3,null,0,20571,0,0,2576272,away,,
4,null,0,3431,0,32,2576272,away,,
5,null,0,138408,0,0,2576272,away,,
6,null,0,206314,0,0,2576272,away,,
7,null,0,14812,0,0,2576272,away,,
8,0,2,7982,0,0,2576272,away,90.0,352993.0
9,null,0,241676,0,0,2576272,away,,
10,null,0,135903,0,0,2576272,away,,
0,null,0,8148,0,0,2576265,home,72.0,354552.0
1,null,0,21507,0,60,2576265,home,79.0,20812.0
2,null,0,20525,0,0,2576265,home,87.0,21019.0
3,null,0,25421,0,0,2576265,home,,
4,null,0,20429,0,0,2576265,home,,
5,null,0,21234,0,21,2576265,home,,
6,1,0,20941,0,0,2576265,home,,
7,null,0,101742,0,0,2576265,home,,
8,null,0,25558,0,0,2576265,home,,
9,null,0,21279,0,0,2576265,home,,
10,null,0,20927,0,0,2576265,home,,
0,0,2,20556,0,0,2576265,away,59.0,3344.0
1,0,2,3543,0,0,2576265,away,68.0,352993.0
2,0,2,21094,0,0,2576265,away,87.0,20519.0
3,0,2,20571,0,0,2576265,away,,
4,0,2,3431,0,7,2576265,away,,
5,0,2,138408,0,0,2576265,away,,
6,0,2,206314,0,0,2576265,away,,
7,0,2,69968,0,39,2576265,away,,
8,0,2,14812,0,0,2576265,away,,
9,0,2,241676,0,46,2576265,away,,
10,0,2,135903,0,0,2576265,away,,
0,null,0,351010,0,0,2576224,home,69.0,286226.0
1,null,0,20943,0,0,2576224,home,69.0,105376.0
2,null,0,20845,0,0,2576224,home,81.0,20449.0
3,null,0,15524,0,0,2576224,home,,
4,null,0,257028,0,0,2576224,home,,
5,null,0,350999,0,0,2576224,home,,
6,null,0,285109,0,0,2576224,home,,
7,null,0,14922,0,0,2576224,home,,
8,null,0,11063,0,77,2576224,home,,
9,null,0,20459,0,0,2576224,home,,
10,null,0,146588,0,0,2576224,home,,
0,null,0,3344,0,0,2576224,away,71.0,3543.0
1,null,0,20556,0,70,2576224,away,77.0,20626.0
2,null,0,21094,0,0,2576224,away,,
3,null,0,20571,0,0,2576224,away,,
4,null,0,3431,0,0,2576224,away,,
5,null,0,138408,0,58,2576224,away,,
6,null,0,206314,0,0,2576224,away,,
7,null,0,69968,0,0,2576224,away,,
8,null,0,14812,0,57,2576224,away,,
9,null,0,241676,0,0,2576224,away,,
10,0,2,135903,0,21,2576224,away,,
0,null,0,21094,0,0,2576251,home,59.0,7982.0
1,2,2,206314,0,0,2576251,home,65.0,20626.0
2,null,0,3344,0,0,2576251,home,75.0,3543.0
3,null,0,20571,0,0,2576251,home,,
4,null,0,20556,0,0,2576251,home,,
5,null,0,3431,0,0,2576251,home,,
6,null,0,138408,0,0,2576251,home,,
7,null,0,69968,0,0,2576251,home,,
8,1,0,14812,0,0,2576251,home,,
9,null,0,241676,0,63,2576251,home,,
10,null,0,135903,0,0,2576251,home,,
0,null,0,263433,0,0,2576251,away,57.0,20512.0
1,null,0,337225,0,0,2576251,away,65.0,343925.0
2,null,0,252589,0,0,2576251,away,79.0,20947.0
3,null,0,328336,0,34,2576251,away,,
4,null,0,192,0,0,2576251,away,,
5,null,0,20403,0,0,2576251,away,,
6,null,0,21298,90,0,2576251,away,,
7,null,0,20935,0,77,2576251,away,,
8,0,2,22099,0,5,2576251,away,,
9,null,0,22093,0,0,2576251,away,,
10,null,0,26373,0,0,2576251,away,,
0,0,2,99833,0,0,2576245,home,34.0,20446.0
1,null,0,20689,0,37,2576245,home,50.0,21376.0
2,null,0,20816,0,0,2576245,home,54.0,21004.0
3,null,0,333571,0,0,2576245,home,,
4,null,0,20811,0,0,2576245,home,,
5,null,0,20479,0,0,2576245,home,,
6,null,0,20869,0,0,2576245,home,,
7,null,0,37739,0,0,2576245,home,,
8,null,0,22270,0,0,2576245,home,,
9,null,0,20802,0,0,2576245,home,,
10,null,0,86243,0,0,2576245,home,,
0,4,0,206314,0,0,2576245,away,66.0,20626.0
1,null,0,20556,0,0,2576245,away,78.0,116349.0
2,null,0,3344,0,77,2576245,away,80.0,3543.0
3,null,0,21094,0,0,2576245,away,,
4,null,0,20571,0,0,2576245,away,,
5,null,0,3431,0,0,2576245,away,,
6,null,0,138408,0,0,2576245,away,,
7,null,0,69968,0,0,2576245,away,,
8,1,0,14812,0,0,2576245,away,,
9,null,0,241676,0,0,2576245,away,,
10,null,0,135903,0,0,2576245,away,,
0,null,0,3344,0,0,2576234,home,64.0,20626.0
1,null,0,20556,0,0,2576234,home,79.0,3543.0
2,0,2,14812,0,0,2576234,home,87.0,352993.0
3,null,0,21094,0,0,2576234,home,,
4,null,0,20571,0,0,2576234,home,,
5,null,0,3431,0,0,2576234,home,,
6,null,0,138408,0,0,2576234,home,,
7,null,0,206314,0,0,2576234,home,,
8,null,0,69968,0,0,2576234,home,,
9,null,0,241676,0,38,2576234,home,,
10,null,0,135903,0,0,2576234,home,,
0,null,0,21171,0,0,2576234,away,71.0,99902.0
1,0,2,122,0,0,2576234,away,86.0,99452.0
2,null,0,40726,0,17,2576234,away,89.0,284315.0
3,null,0,21385,0,61,2576234,away,,
4,null,0,21001,0,0,2576234,away,,
5,null,0,21315,0,0,2576234,away,,
6,null,0,7949,0,0,2576234,away,,
7,null,0,25726,0,0,2576234,away,,
8,null,0,3300,0,85,2576234,away,,
9,null,0,3313,0,0,2576234,away,,
10,null,0,22107,0,0,2576234,away,,
0,null,0,3344,0,0,2576210,home,65.0,352993.0
1,null,0,14812,0,0,2576210,home,81.0,69968.0
2,null,0,21094,0,0,2576210,home,,
3,null,0,20571,0,0,2576210,home,,
4,null,0,20556,0,56,2576210,home,,
